5,1,94.69,2000-08-29
6,1,90.41,2000-09-30
15,1,95.26,2000-11-03
36,1,97.1,2000-03-11
39,1,93.6,2000-03-20
45,1,97.27,2000-03-14
79,1,96.55,2000-05-11
110,1,90.74,2000-02-02
124,1,92.94,2000-01-26
136,1,96.26,2000-12-20
141,1,96.16,2000-05-09
145,1,98.36,2000-08-24
146,1,93.19,2000-12-22
158,1,99.5,2000-08-07
164,1,92.31,2000-01-24
168,1,90.66,2000-07-18
185,1,98.72,2000-05-28
206,1,97.22,2000-07-13
208,1,90.31,2000-03-22
216,1,95.9,2000-11-01
232,1,97.65,2000-03-26
233,1,97.29,2000-03-06
238,1,97.46,2000-07-13
276,1,91.84,2000-10-21
278,1,94.07,2000-01-22
285,1,95.76,2000-08-17
288,1,92.47,2000-09-11
289,1,90.45,2000-07-14
309,1,93.4,2000-08-28
339,1,97.79,2000-10-04
353,1,95.32,2000-07-03
405,1,95.6,2000-04-24
421,1,96.86,2000-06-25
425,1,91.86,2000-03-21
429,1,93.9,2000-11-08
448,1,90.92,2000-08-02
460,1,97.17,2000-11-19
464,1,96.63,2000-04-25
470,1,96.8,2000-03-19
472,1,90.37,2000-10-30
480,1,94.75,2000-09-13
488,1,90.1,2000-03-06
512,1,92.49,2000-09-06
518,1,96.15,2000-11-15
520,1,94.26,2000-08-09
524,1,96.39,2000-04-20
537,1,99.15,2000-01-13
545,1,97.23,2000-03-20
555,1,96.57,2000-03-01
558,1,97.57,2000-03-25
559,1,99.97,2000-03-08
577,1,99.53,2000-11-29
579,1,91.08,2000-04-21
582,1,95.86,2000-09-02
589,1,98.55,2000-01-08
596,1,95.25,2000-06-11
630,1,95.72,2000-03-17
631,1,92.97,2000-02-28
644,1,91.19,2000-04-28
656,1,91.49,2000-07-03
664,1,95.5,2000-06-01
667,1,91.35,2000-02-01
678,1,95.87,2000-10-31
690,1,97.91,2000-07-29
691,1,90.36,2000-03-02
707,1,99.64,2000-11-30
741,1,99.8,2000-03-29
749,1,94.44,2000-12-11
763,1,98.05,2000-06-11
765,1,94.09,2000-09-18
766,1,93.6,2000-07-20
770,1,95.38,2000-03-23
784,1,97.13,2000-11-29
793,1,99.3,2000-08-14
798,1,99.78,2000-03-10
804,1,94.53,2000-04-28
805,1,90.77,2000-09-30
823,1,95.89,2000-03-04
831,1,95.81,2000-11-26
842,1,98.57,2000-04-06
844,1,99.2,2000-03-27
859,1,92.9,2000-10-29
865,1,92.53,2000-08-06
871,1,95.55,2000-10-29
879,1,94.38,2000-04-04
887,1,90.95,2000-10-19
888,1,97.57,2000-02-21
890,1,91.28,2000-05-23
894,1,93.02,2000-01-05
910,1,96.53,2000-03-24
912,1,93.59,2000-09-05
923,1,97.87,2000-06-23
926,1,97.56,2000-02-08
947,1,91.44,2000-01-05
948,1,93.05,2000-07-14
969,1,97.47,2000-12-03
980,1,92.22,2000-05-23
985,1,90.59,2000-11-30
1015,1,90.33,2000-10-28
1026,1,96.63,2000-03-22
1027,1,92.32,2000-03-01
1035,1,98.22,2000-08-08
1050,1,90.77,2000-10-23
1055,1,96.01,2000-08-31
1061,1,91.41,2000-12-25
1064,1,98.25,2000-10-28
1076,1,98.03,2000-10-21
1082,1,93.73,2000-10-16
1086,1,93.79,2000-08-03
1090,1,99.02,2000-10-17
1095,1,99.29,2000-11-01
1098,1,96.31,2000-04-17
1106,1,99.31,2000-11-15
1111,1,99.75,2000-05-24
1112,1,99.77,2000-10-18
1113,1,97.82,2000-08-04
1129,1,94.62,2000-06-22
1144,1,93.15,2000-03-24
1179,1,91.97,2000-06-29
1185,1,97.87,2000-01-28
1197,1,94.33,2000-09-03
1205,1,99.07,2000-09-13
1215,1,93.85,2000-01-13
1219,1,97.6,2000-07-10
1221,1,91.42,2000-02-25
1243,1,97.81,2000-07-20
1245,1,95.74,2000-07-16
1246,1,93.52,2000-02-28
1266,1,97.15,2000-06-26
1268,1,99.65,2000-04-02
1280,1,99.27,2000-02-16
1281,1,91.58,2000-07-30
1288,1,93.35,2000-02-02
1302,1,93.94,2000-01-12
1322,1,99.25,2000-12-27
1323,1,98.13,2000-12-28
1328,1,99.25,2000-06-03
1370,1,90.2,2000-11-15
1374,1,99.38,2000-09-16
1406,1,93.46,2000-02-13
1425,1,91.18,2000-10-19
1443,1,95.2,2000-11-03
1450,1,94.81,2000-04-30
1451,1,91.28,2000-10-01
1458,1,92.41,2000-04-15
1460,1,99.62,2000-10-22
1474,1,91.43,2000-05-27
1478,1,95.4,2000-07-17
1481,1,92.33,2000-11-07
1485,1,95.89,2000-03-11
1490,1,99.17,2000-01-31
1497,1,94.31,2000-09-23
1505,1,93.74,2000-03-17
1507,1,94.14,2000-04-13
1509,1,98.51,2000-08-30
1536,1,91.49,2000-06-17
1541,1,94.59,2000-07-20
1563,1,90.11,2000-10-15
1564,1,98.93,2000-02-20
1568,1,94.86,2000-05-31
1580,1,99.06,2000-06-07
1600,1,90.63,2000-08-23
1610,1,95.18,2000-06-12
1635,1,90.32,2000-08-06
1641,1,96.33,2000-10-21
1647,1,90.23,2000-11-11
1669,1,91.33,2000-11-15
1670,1,98.1,2000-12-10
1681,1,95.92,2000-05-20
1683,1,94.4,2000-10-17
1688,1,97.51,2000-05-28
1698,1,98.34,2000-04-04
1717,1,90.63,2000-04-06
1718,1,97.84,2000-09-26
1721,1,92.85,2000-08-18
1722,1,93.73,2000-09-28
1750,1,91.99,2000-11-22
1754,1,97.36,2000-08-13
1758,1,91.99,2000-11-07
1773,1,95.41,2000-11-04
1785,1,92.06,2000-06-19
1791,1,98.22,2000-07-31
1805,1,97.89,2000-06-07
1807,1,93.5,2000-05-29
1817,1,90.02,2000-07-26
1821,1,92.66,2000-08-04
